zip_code,latitude,longitude,borough
10001,40.750633,-73.997177,Manhattan
10002,40.715775,-73.986212,Manhattan
10003,40.731829,-73.989181,Manhattan
10004,40.68863,-74.018244,Manhattan
10005,40.706027,-74.008835,Manhattan
10006,40.709614,-74.012954,Manhattan
10007,40.713848,-74.007755,Manhattan
10009,40.726399,-73.978631,Manhattan
10010,40.739065,-73.982255,Manhattan
10011,40.742039,-74.00062,Manhattan
10012,40.725581,-73.998078,Manhattan
10013,40.720103,-74.004903,Manhattan
10014,40.734012,-74.006746,Manhattan
10016,40.745224,-73.978297,Manhattan
10017,40.75236,-73.972493,Manhattan
10018,40.755319,-73.993114,Manhattan
10019,40.765823,-73.987169,Manhattan
10020,40.758236,-73.978833,Manhattan
10021,40.769258,-73.958751,Manhattan
10022,40.758628,-73.967948,Manhattan
10023,40.775921,-73.982607,Manhattan
10024,40.798452,-73.974428,Manhattan
10025,40.798601,-73.966622,Manhattan
10026,40.802381,-73.952681,Manhattan
10027,40.811407,-73.95306,Manhattan
10028,40.776441,-73.953509,Manhattan
10029,40.791763,-73.94397,Manhattan
10030,40.818267,-73.942856,Manhattan
10031,40.825288,-73.950045,Manhattan
10032,40.838815,-73.942836,Manhattan
10033,40.850545,-73.933983,Manhattan
10034,40.867076,-73.924312,Manhattan
10035,40.795455,-73.929655,Manhattan
10036,40.75926,-73.98986,Manhattan
10037,40.812957,-73.937376,Manhattan
10038,40.709278,-74.002562,Manhattan
10039,40.830867,-73.936218,Manhattan
10040,40.858305,-73.930549,Manhattan
10044,40.761915,-73.949962,Manhattan
10065,40.764612,-73.963122,Manhattan
10069,40.775906,-73.990358,Manhattan
10075,40.773361,-73.956216,Manhattan
10103,40.76078,-73.97767,Manhattan
10110,40.754499,-73.982256,Manhattan
10111,40.759114,-73.977596,Manhattan
10112,40.759167,-73.979668,Manhattan
10115,40.810852,-73.963744,Manhattan
10119,40.75031,-73.992979,Manhattan
10128,40.781432,-73.950013,Manhattan
10152,40.758404,-73.972031,Manhattan
10153,40.763622,-73.972439,Manhattan
10154,40.757779,-73.972487,Manhattan
10162,40.7693,-73.949915,Manhattan
10165,40.752131,-73.978722,Manhattan
10167,40.754648,-73.974771,Manhattan
10168,40.751448,-73.977103,Manhattan
10169,40.754391,-73.976098,Manhattan
10170,40.752625,-73.975877,Manhattan
10171,40.755899,-73.973858,Manhattan
10172,40.755273,-73.974315,Manhattan
10173,40.754131,-73.979364,Manhattan
10174,40.751441,-73.975003,Manhattan
10177,40.755139,-73.975934,Manhattan
10199,40.751393,-73.997229,Manhattan
10271,40.708205,-74.010504,Manhattan
10278,40.715182,-74.003778,Manhattan
10279,40.712626,-74.008669,Manhattan
10280,40.708538,-74.01665,Manhattan
10282,40.716921,-74.015066,Manhattan
10301,40.627456,-74.094407,Staten Island
10302,40.630688,-74.137776,Staten Island
10303,40.629885,-74.17413,Staten Island
10304,40.609227,-74.092575,Staten Island
10305,40.596691,-74.074866,Staten Island
10306,40.571768,-74.12595,Staten Island
10307,40.509183,-74.237785,Staten Island
10308,40.551884,-74.147646,Staten Island
10309,40.531346,-74.219857,Staten Island
10310,40.632648,-74.116148,Staten Island
10311,40.605241,-74.179503,Staten Island
10312,40.545237,-74.180443,Staten Island
10314,40.599263,-74.165748,Staten Island
10452,40.837393,-73.923437,Bronx
10453,40.852779,-73.912332,Bronx
10454,40.805489,-73.916585,Bronx
10455,40.81471,-73.908593,Bronx
